0.010000 	 -nan 	 -nan	0.000000
0.020000 	 -nan 	 -nan	0.038398
0.030000 	 -nan 	 -nan	0.153575
0.040000 	 -nan 	 -nan	0.345476
0.050000 	 -nan 	 -nan	0.614007
0.060000 	 -nan 	 -nan	0.959041
0.070000 	 -nan 	 -nan	1.380411
0.080000 	 -nan 	 -nan	1.877917
0.090000 	 -nan 	 -nan	2.451320
0.100000 	 -nan 	 -nan	3.100345
0.110000 	 -nan 	 -nan	3.824683
0.120000 	 -nan 	 -nan	4.623987
0.130000 	 -nan 	 -nan	5.497877
0.140000 	 -nan 	 -nan	6.445937
0.150000 	 -nan 	 -nan	7.467715
0.160000 	 -nan 	 -nan	8.562727
0.170000 	 -nan 	 -nan	9.730454
0.180000 	 -nan 	 -nan	10.970343
0.190000 	 -nan 	 -nan	12.281808
0.200000 	 -nan 	 -nan	13.664233
0.210000 	 -nan 	 -nan	15.116966
0.220000 	 -nan 	 -nan	16.639327
0.230000 	 -nan 	 -nan	18.230603
0.240000 	 -nan 	 -nan	19.890051
0.250000 	 -nan 	 -nan	21.616899
0.260000 	 -nan 	 -nan	23.410345
0.270000 	 -nan 	 -nan	25.269558
0.280000 	 -nan 	 -nan	27.193682
0.290000 	 -nan 	 -nan	29.181830
0.300000 	 -nan 	 -nan	31.233092
0.310000 	 -nan 	 -nan	33.346529
0.320000 	 -nan 	 -nan	35.521179
0.330000 	 -nan 	 -nan	37.756057
0.340000 	 -nan 	 -nan	40.050151
0.350000 	 -nan 	 -nan	42.402429
0.360000 	 -nan 	 -nan	44.811837
0.370000 	 -nan 	 -nan	47.277298
0.380000 	 -nan 	 -nan	49.797716
0.390000 	 -nan 	 -nan	52.371976
0.400000 	 -nan 	 -nan	54.998944
0.410000 	 -nan 	 -nan	57.677467
0.420000 	 -nan 	 -nan	60.406376
0.430000 	 -nan 	 -nan	63.184487
0.440000 	 -nan 	 -nan	66.010599
0.450000 	 -nan 	 -nan	68.883497
0.460000 	 -nan 	 -nan	71.801954
0.470000 	 -nan 	 -nan	74.764728
0.480000 	 -nan 	 -nan	77.770567
0.490000 	 -nan 	 -nan	80.818207
0.500000 	 -nan 	 -nan	83.906375
0.510000 	 -nan 	 -nan	87.033788
0.520000 	 -nan 	 -nan	90.199155
0.530000 	 -nan 	 -nan	93.401179
0.540000 	 -nan 	 -nan	96.638554
0.550000 	 -nan 	 -nan	99.909969
0.560000 	 -nan 	 -nan	103.214110
0.570000 	 -nan 	 -nan	106.549657
0.580000 	 -nan 	 -nan	109.915287
0.590000 	 -nan 	 -nan	113.309676
0.600000 	 -nan 	 -nan	116.731498
0.610000 	 -nan 	 -nan	120.179424
0.620000 	 -nan 	 -nan	123.652130
0.630000 	 -nan 	 -nan	127.148288
0.640000 	 -nan 	 -nan	130.666574
0.650000 	 -nan 	 -nan	134.205667
0.660000 	 -nan 	 -nan	137.764248
0.670000 	 -nan 	 -nan	141.341002
0.680000 	 -nan 	 -nan	144.934620
0.690000 	 -nan 	 -nan	148.543797
0.700000 	 -nan 	 -nan	152.167235
0.710000 	 -nan 	 -nan	155.803642
0.720000 	 -nan 	 -nan	159.451735
0.730000 	 -nan 	 -nan	163.110237
0.740000 	 -nan 	 -nan	166.777881
0.750000 	 -nan 	 -nan	170.453410
0.760000 	 -nan 	 -nan	174.135576
0.770000 	 -nan 	 -nan	177.823141
0.780000 	 -nan 	 -nan	181.514881
0.790000 	 -nan 	 -nan	185.209580
0.800000 	 -nan 	 -nan	188.906037
0.810000 	 -nan 	 -nan	192.603062
0.820000 	 -nan 	 -nan	196.299480
0.830000 	 -nan 	 -nan	199.994129
0.840000 	 -nan 	 -nan	203.685860
0.850000 	 -nan 	 -nan	207.373541
0.860000 	 -nan 	 -nan	211.056053
0.870000 	 -nan 	 -nan	214.732294
0.880000 	 -nan 	 -nan	218.401177
0.890000 	 -nan 	 -nan	222.061632
0.900000 	 -nan 	 -nan	225.712604
0.910000 	 -nan 	 -nan	229.353057
0.920000 	 -nan 	 -nan	232.981972
0.930000 	 -nan 	 -nan	236.598346
0.940000 	 -nan 	 -nan	240.201195
0.950000 	 -nan 	 -nan	243.789553
0.960000 	 -nan 	 -nan	247.362472
0.970000 	 -nan 	 -nan	250.919023
0.980000 	 -nan 	 -nan	254.458295
0.990000 	 -nan 	 -nan	257.979397
1.000000 	 -nan 	 -nan	261.481457
1.010000 	 -nan 	 -nan	264.963622
1.020000 	 -nan 	 -nan	268.425057
1.030000 	 -nan 	 -nan	271.864949
1.040000 	 -nan 	 -nan	275.282503
1.050000 	 -nan 	 -nan	278.676944
1.060000 	 -nan 	 -nan	282.047518
1.070000 	 -nan 	 -nan	285.393490
1.080000 	 -nan 	 -nan	288.714143
1.090000 	 -nan 	 -nan	292.008784
1.100000 	 -nan 	 -nan	295.276736
1.110000 	 -nan 	 -nan	298.517344
1.120000 	 -nan 	 -nan	301.729973
1.130000 	 -nan 	 -nan	304.914008
1.140000 	 -nan 	 -nan	308.068851
1.150000 	 -nan 	 -nan	311.193929
1.160000 	 -nan 	 -nan	314.288683
1.170000 	 -nan 	 -nan	317.352579
1.180000 	 -nan 	 -nan	320.385098
1.190000 	 -nan 	 -nan	323.385744
1.200000 	 -nan 	 -nan	326.354038
1.210000 	 -nan 	 -nan	329.289521
1.220000 	 -nan 	 -nan	332.191754
1.230000 	 -nan 	 -nan	335.060315
1.240000 	 -nan 	 -nan	337.894802
1.250000 	 -nan 	 -nan	340.694833
1.260000 	 -nan 	 -nan	343.460041
1.270000 	 -nan 	 -nan	346.190081
1.280000 	 -nan 	 -nan	348.884623
1.290000 	 -nan 	 -nan	351.543357
