0.010000 	 -nan 	 -nan	0.000000
0.020000 	 -nan 	 -nan	0.599850
0.030000 	 -nan 	 -nan	2.397602
0.040000 	 -nan 	 -nan	5.387869
0.050000 	 -nan 	 -nan	9.561707
0.060000 	 -nan 	 -nan	14.906659
0.070000 	 -nan 	 -nan	21.406818
0.080000 	 -nan 	 -nan	29.042916
0.090000 	 -nan 	 -nan	37.792416
0.100000 	 -nan 	 -nan	47.629633
0.110000 	 -nan 	 -nan	58.525862
0.120000 	 -nan 	 -nan	70.449523
0.130000 	 -nan 	 -nan	83.366322
0.140000 	 -nan 	 -nan	97.239415
0.150000 	 -nan 	 -nan	112.029592
0.160000 	 -nan 	 -nan	127.695466
0.170000 	 -nan 	 -nan	144.193667
0.180000 	 -nan 	 -nan	161.479046
0.190000 	 -nan 	 -nan	179.504885
0.200000 	 -nan 	 -nan	198.223102
0.210000 	 -nan 	 -nan	217.584469
0.220000 	 -nan 	 -nan	237.538823
0.230000 	 -nan 	 -nan	258.035275
0.240000 	 -nan 	 -nan	279.022425
0.250000 	 -nan 	 -nan	300.448561
0.260000 	 -nan 	 -nan	322.261869
0.270000 	 -nan 	 -nan	344.410619
0.280000 	 -nan 	 -nan	366.843362
0.290000 	 -nan 	 -nan	389.509106
0.300000 	 -nan 	 -nan	412.357488
0.310000 	 -nan 	 -nan	435.338939
0.320000 	 -nan 	 -nan	458.404839
0.330000 	 -nan 	 -nan	481.507655
0.340000 	 -nan 	 -nan	504.601075
0.350000 	 -nan 	 -nan	527.640132
0.360000 	 -nan 	 -nan	550.581310
0.370000 	 -nan 	 -nan	573.382644
0.380000 	 -nan 	 -nan	596.003805
0.390000 	 -nan 	 -nan	618.406180
0.400000 	 -nan 	 -nan	640.552931
0.410000 	 -nan 	 -nan	662.409054
0.420000 	 -nan 	 -nan	683.941417
0.430000 	 -nan 	 -nan	705.118796
0.440000 	 -nan 	 -nan	725.911895
0.450000 	 -nan 	 -nan	746.293361
0.460000 	 -nan 	 -nan	766.237787
0.470000 	 -nan 	 -nan	785.721708
0.480000 	 -nan 	 -nan	804.723589
0.490000 	 -nan 	 -nan	823.223802
0.500000 	 -nan 	 -nan	841.204605
0.510000 	 -nan 	 -nan	858.650103
0.520000 	 -nan 	 -nan	875.546212
0.530000 	 -nan 	 -nan	891.880616
0.540000 	 -nan 	 -nan	907.642713
0.550000 	 -nan 	 -nan	922.823572
0.560000 	 -nan 	 -nan	937.415865
0.570000 	 -nan 	 -nan	951.413819
0.580000 	 -nan 	 -nan	964.813144
0.590000 	 -nan 	 -nan	977.610979
